Code,Year,Site,lat,lon,Plot.size..m2.,ele,Aspect,Degree.easting,Degree.northing,Average.slope,avg.SR,Quadrat,Species,Origin,Growth_form,Mean_SLA_mm2.mg.1,Mean_LDMC_mg.g.1,Mean_seed_mass_mg,Max_height_m,Evergreen,Deciduous,Cover
2022_KB_SE_KB11,2022,KB,-37.21138604,146.605201,2418,1705.766479,SE,0.707102885,-0.707110677,10.68803873,425123.8565,KB11,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SE_KB12,2022,KB,-37.21138604,146.605201,2418,1705.766479,SE,0.707102885,-0.707110677,10.68803873,425123.8565,KB12,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SE_KB13,2022,KB,-37.21138604,146.605201,2418,1705.766479,SE,0.707102885,-0.707110677,10.68803873,425123.8565,KB13,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SE_KB14,2022,KB,-37.21138604,146.605201,2418,1705.766479,SE,0.707102885,-0.707110677,10.68803873,425123.8565,KB14,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SE_KB15,2022,KB,-37.21138604,146.605201,2418,1705.766479,SE,0.707102885,-0.707110677,10.68803873,425123.8565,KB15,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SW_KB16,2022,KB,-37.21138604,146.605201,2418,1705.766479,SW,-0.707113275,-0.707100288,7.6240814,469324.3856,KB16,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SW_KB17,2022,KB,-37.21138604,146.605201,2418,1705.766479,SW,-0.707113275,-0.707100288,7.6240814,469324.3856,KB17,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SW_KB18,2022,KB,-37.21138604,146.605201,2418,1705.766479,SW,-0.707113275,-0.707100288,7.6240814,469324.3856,KB18,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SW_KB19,2022,KB,-37.21138604,146.605201,2418,1705.766479,SW,-0.707113275,-0.707100288,7.6240814,469324.3856,KB19,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_SW_KB20,2022,KB,-37.21138604,146.605201,2418,1705.766479,SW,-0.707113275,-0.707100288,7.6240814,469324.3856,KB20,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
