"Code","Year","Site","Lat","Long","Elevation","Quadrat","Aspect","Degree.easting","Degree.northing","Average.slope","species_richness","hill_1","hill_2"
"2022_KB_SE_KB12",2022,"KB",-37.20246601,146.600757,1690,"KB12","SE",0.707102885,-0.707110677,10.68803873,11,8.98225338118768,0.134349030470914
"2022_KB_SE_KB13",2022,"KB",-37.20246601,146.600757,1690,"KB13","SE",0.707102885,-0.707110677,10.68803873,10,5.98208861407146,0.242438563327032
"2022_KB_SE_KB14",2022,"KB",-37.20246601,146.600757,1690,"KB14","SE",0.707102885,-0.707110677,10.68803873,12,8.29822499769109,0.151626275510204
"2022_KB_SE_KB15",2022,"KB",-37.20246601,146.600757,1690,"KB15","SE",0.707102885,-0.707110677,10.68803873,8,5.401763476267,0.211505190311419
"2022_KB_SW_KB16",2022,"KB",-37.20246601,146.600757,1690,"KB16","SW",-0.707113275,-0.707100288,7.6240814,11,5.41649582451058,0.254944869960441
"2022_KB_SW_KB17",2022,"KB",-37.20246601,146.600757,1690,"KB17","SW",-0.707113275,-0.707100288,7.6240814,10,5.91836082476395,0.254591095256969
"2022_KB_SW_KB18",2022,"KB",-37.20246601,146.600757,1690,"KB18","SW",-0.707113275,-0.707100288,7.6240814,11,7.82469228553861,0.171789278868398
"2022_KB_SW_KB19",2022,"KB",-37.20246601,146.600757,1690,"KB19","SW",-0.707113275,-0.707100288,7.6240814,8,4.11373646939783,0.346212995001922
"2022_KB_SW_KB20",2022,"KB",-37.20246601,146.600757,1690,"KB20","SW",-0.707113275,-0.707100288,7.6240814,11,7.36914613656307,0.177457466918715
"2022_LSK_NE_KSK16",2022,"LSK",-36.82634301,147.281539,1670,"KSK16","NE",0.70710808,0.707105483,12.88055929,5,3.76462354496827,0.298611111111111
"2022_LSK_NE_LSK17",2022,"LSK",-36.82634301,147.281539,1670,"LSK17","NE",0.70710808,0.707105483,12.88055929,4,2.67269615442102,0.486111111111111
"2022_LSK_NE_LSK18",2022,"LSK",-36.82634301,147.281539,1670,"LSK18","NE",0.70710808,0.707105483,12.88055929,3,3,0.333333333333333
"2022_LSK_NE_LSK19",2022,"LSK",-36.82634301,147.281539,1670,"LSK19","NE",0.70710808,0.707105483,12.88055929,9,4.20632089386814,0.334857196719766
"2022_LSK_NE_LSK20",2022,"LSK",-36.82634301,147.281539,1670,"LSK20","NE",0.70710808,0.707105483,12.88055929,5,3.10472671590151,0.351733775875622
"2022_LSK_NW_LSK1",2022,"LSK",-36.82634301,147.281539,1670,"LSK1","NW",-0.70709769,0.707115872,12.15794473,8,5.06473664331784,0.231074462148924
"2022_LSK_NW_LSK2",2022,"LSK",-36.82634301,147.281539,1670,"LSK2","NW",-0.70709769,0.707115872,12.15794473,7,5.8577259919198,0.206611570247934
"2022_LSK_NW_LSK3",2022,"LSK",-36.82634301,147.281539,1670,"LSK3","NW",-0.70709769,0.707115872,12.15794473,3,2.82842712474619,0.375
"2022_LSK_NW_LSK4",2022,"LSK",-36.82634301,147.281539,1670,"LSK4","NW",-0.70709769,0.707115872,12.15794473,3,1.53088875019617,0.796296296296296
"2022_LSK_NW_LSK5",2022,"LSK",-36.82634301,147.281539,1670,"LSK5","NW",-0.70709769,0.707115872,12.15794473,6,3.95034923919622,0.292096730278953
"2022_LSK_SE_LSK11",2022,"LSK",-36.82634301,147.281539,1670,"LSK11","SE",0.707102885,-0.707110677,9.97689961,9,6.90345430428482,0.164783268679373
"2022_LSK_SE_LSK12",2022,"LSK",-36.82634301,147.281539,1670,"LSK12","SE",0.707102885,-0.707110677,9.97689961,10,3.62570101612742,0.35626102292769
"2022_LSK_SE_LSK13",2022,"LSK",-36.82634301,147.281539,1670,"LSK13","SE",0.707102885,-0.707110677,9.97689961,11,4.79601665913496,0.333945342843019
"2022_LSK_SE_LSK14",2022,"LSK",-36.82634301,147.281539,1670,"LSK14","SE",0.707102885,-0.707110677,9.97689961,10,5.82791586908214,0.193243429638511
"2022_LSK_SE_LSK15",2022,"LSK",-36.82634301,147.281539,1670,"LSK15","SE",0.707102885,-0.707110677,9.97689961,9,3.48164047659514,0.397464868300261
"2022_LSK_SW_LSK10",2022,"LSK",-36.82634301,147.281539,1670,"LSK10","SW",-0.707113275,-0.707100288,9.254285043,13,6.10829994475883,0.237965897087672
"2022_LSK_SW_LSK6",2022,"LSK",-36.82634301,147.281539,1670,"LSK6","SW",-0.707113275,-0.707100288,9.254285043,13,6.20128865133695,0.230712111086359
"2022_LSK_SW_LSK7",2022,"LSK",-36.82634301,147.281539,1670,"LSK7","SW",-0.707113275,-0.707100288,9.254285043,13,6.40339847911613,0.226827739197531
"2022_LSK_SW_LSK8",2022,"LSK",-36.82634301,147.281539,1670,"LSK8","SW",-0.707113275,-0.707100288,9.254285043,9,4.25757479060076,0.317338162064283
"2022_LSK_SW_LSK9",2022,"LSK",-36.82634301,147.281539,1670,"LSK9","SW",-0.707113275,-0.707100288,9.254285043,15,9.3012298160511,0.138687446511418
"2022_MBo_NE_MBo10",2022,"MBo",-36.73287501,147.30579,1950,"MBo10","NE",0.70710808,0.707105483,5.710593137,10,5.3443708125996,0.246926149267758
"2022_MBo_NE_MBo6",2022,"MBo",-36.73287501,147.30579,1950,"MBo6","NE",0.70710808,0.707105483,5.710593137,7,3.96256959680591,0.358650416171225
"2022_MBo_NE_MBo7",2022,"MBo",-36.73287501,147.30579,1950,"MBo7","NE",0.70710808,0.707105483,5.710593137,10,5.78686949100805,0.238645525396399
"2022_MBo_NE_MBo8",2022,"MBo",-36.73287501,147.30579,1950,"MBo8","NE",0.70710808,0.707105483,5.710593137,6,3.22000218092289,0.425062299750801
"2022_MBo_NE_MBo9",2022,"MBo",-36.73287501,147.30579,1950,"MBo9","NE",0.70710808,0.707105483,5.710593137,9,6.66661434199646,0.186682520808561
"2022_MBo_NW_MBo1",2022,"MBo",-36.73287501,147.30579,1950,"MBo1","NW",-0.70709769,0.707115872,5.710593137,7,3.52313227156022,0.401937618147448
"2022_MBo_NW_MBo2",2022,"MBo",-36.73287501,147.30579,1950,"MBo2","NW",-0.70709769,0.707115872,5.710593137,8,4.4539870185927,0.30587978354243
"2022_MBo_NW_MBo3",2022,"MBo",-36.73287501,147.30579,1950,"MBo3","NW",-0.70709769,0.707115872,5.710593137,12,7.12484587377345,0.190774381548763
"2022_MBo_NW_MBo4",2022,"MBo",-36.73287501,147.30579,1950,"MBo4","NW",-0.70709769,0.707115872,5.710593137,9,5.17996205188743,0.255442085460898
"2022_MBo_NW_MBo5",2022,"MBo",-36.73287501,147.30579,1950,"MBo5","NW",-0.70709769,0.707115872,5.710593137,8,3.27442579150291,0.492419738406659
"2022_MBo_SE_MBo16",2022,"MBo",-36.73287501,147.30579,1950,"MBo16","SE",0.707102885,-0.707110677,5.710593137,3,2.35607654530087,0.457063711911357
"2022_MBo_SE_MBo17",2022,"MBo",-36.73287501,147.30579,1950,"MBo17","SE",0.707102885,-0.707110677,5.710593137,10,4.9073426581373,0.310458735148383
