Code,Year,Site,lat,lon,ele,Plot.size..m2.,Aspect,Quadrat,Species,Cover,Origin,Growth_form,Shrub,Forb,Graminoid,Mean_SLA_mm2.mg.1,Mean_LDMC_mg.g.1,Mean_seed_mass_mg,Max_height_m,Strategy,Evergreen,Deciduous,avg.SR
2022_LSK_NE_KSK16,2022,LSK,-36.82634,147.2815,1797,1444,NE,KSK16,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,464724.9099
2022_LSK_NE_LSK19,2022,LSK,-36.82634,147.2815,1797,1444,NE,LSK19,Brachyscome.rigidula,0.5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,464724.9099
2022_MH_N_MH5,2022,MH,-37.17422999,146.647766,1741.986938,1938,N,MH5,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,483625.0532
2022_TT_NE_TT1,2022,TT,-37.02748,147.0278,1574,2254,NE,TT1,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,477951.0485
2022_TT_NE_TT2,2022,TT,-37.02748,147.0278,1574,2254,NE,TT2,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,477951.0485
2022_TT_NE_TT3,2022,TT,-37.02748,147.0278,1574,2254,NE,TT3,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,477951.0485
2022_TT_NE_TT4,2022,TT,-37.02748,147.0278,1574,2254,NE,TT4,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,477951.0485
2022_TT_NW_TT6,2022,TT,-37.02748,147.0278,1574,2254,NW,TT6,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,480622.9955
2022_TT_NW_TT7,2022,TT,-37.02748,147.0278,1574,2254,NW,TT7,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,480622.9955
2022_TT_NW_TT8,2022,TT,-37.02748,147.0278,1574,2254,NW,TT8,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,480622.9955
2022_TT_NW_TT9,2022,TT,-37.02748,147.0278,1574,2254,NW,TT9,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,480622.9955
2022_TT_NW_TT10,2022,TT,-37.02748,147.0278,1574,2254,NW,TT10,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,480622.9955
2022_TT_SW_TT11,2022,TT,-37.02748,147.0278,1574,2254,SW,TT11,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,449226.003
2022_TT_SW_TT13,2022,TT,-37.02748,147.0278,1574,2254,SW,TT13,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,449226.003
2022_TT_SW_TT15,2022,TT,-37.02748,147.0278,1574,2254,SW,TT15,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,449226.003
2022_TT_SE_TT16,2022,TT,-37.02748,147.0278,1574,2254,SE,TT16,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,453036.6715
2022_TT_SE_TT18,2022,TT,-37.02748,147.0278,1574,2254,SE,TT18,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,453036.6715
2022_TT_SE_TT19,2022,TT,-37.02748,147.0278,1574,2254,SE,TT19,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,453036.6715
2022_TT_SE_TT20,2022,TT,-37.02748,147.0278,1574,2254,SE,TT20,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,453036.6715
2022_BF_S_BF13,2022,BF,-37.241018,146.483143,1688.912842,1742,S,BF13,Eucalyptus.pauciflora,10,Native,Tree,0,0,0,4.249585972,341.4466918,0.689,7,Evergreen,1,0,460774.8619
2022_KB_NW_KB2,2022,KB,-37.21138604,146.605201,1705.766479,2418,NW,KB2,Eucalyptus.pauciflora,15,Native,Tree,0,0,0,4.249585972,341.4466918,0.689,7,Evergreen,1,0,482760.837
2022_MSp_NE_MSp18,2022,MSp,-37.125625,146.642424,1641,1197,NE,MSp18,Eucalyptus.pauciflora,30,Native,Tree,0,0,0,4.249585972,341.4466918,0.689,7,Evergreen,1,0,465079.216
2022_MHW_NW_MHW2,2022,MHW,-37.17599,146.6418,1689,954,NW,MHW2,Eucalyptus.pauciflora,20,Native,Tree,0,0,0,4.249585972,341.4466918,0.689,7,Evergreen,1,0,484706.1286
2022_LSK_NW_LSK5,2022,LSK,-36.82634,147.2815,1797,1444,NW,LSK5,Bossiaea.sericea,30,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,471437.0468
2022_LSK_SW_LSK9,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK9,Bossiaea.sericea,35,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,459126.283
2022_LSK_SW_LSK10,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK10,Bossiaea.sericea,60,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,459126.283
2022_LSK_SE_LSK12,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK12,Bossiaea.sericea,55,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,452934.7812
2022_LSK_SE_LSK13,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK13,Bossiaea.sericea,10,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,452934.7812
2022_LSK_SE_LSK14,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK14,Bossiaea.sericea,25,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,452934.7812
2022_LSK_SE_LSK15,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK15,Bossiaea.sericea,70,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0,452934.7812
2022_KB_NW_KB1,2022,KB,-37.21138604,146.605201,1705.766479,2418,NW,KB1,Melicytus.angustifolius.subsp..divaricatus,15,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,482760.837
2022_KB_NE_KB6,2022,KB,-37.21138604,146.605201,1705.766479,2418,NE,KB6,Melicytus.angustifolius.subsp..divaricatus,5,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,444419.1736
2022_KB_SW_KB20,2022,KB,-37.21138604,146.605201,1705.766479,2418,SW,KB20,Melicytus.angustifolius.subsp..divaricatus,1,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,469324.3856
2022_MBo_NW_MBo4,2022,MBo,-36.73858602,147.288477,1982.326172,5000,NW,MBo4,Melicytus.angustifolius.subsp..divaricatus,5,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,465094.8099
2022_MM_NE_MM13,2022,MM,-37.18933803,146.620695,1728.878052,1710,NE,MM13,Melicytus.angustifolius.subsp..divaricatus,5,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,474591.8001
2022_MM_SE_MM19,2022,MM,-37.18933803,146.620695,1728.878052,1710,SE,MM19,Melicytus.angustifolius.subsp..divaricatus,15,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,468098.3536
2022_MSt_NE_MSt2,2022,MSt,-37.129005,146.499058,1725,1260,NE,MSt2,Melicytus.angustifolius.subsp..divaricatus,5,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,454786.5586
2022_MSt_SE_MSt15,2022,MSt,-37.129005,146.499058,1725,1260,SE,MSt15,Melicytus.angustifolius.subsp..divaricatus,10,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,393523.9032
2022_MSt_SW_MSt18,2022,MSt,-37.129005,146.499058,1725,1260,SW,MSt18,Melicytus.angustifolius.subsp..divaricatus,1,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,467706.5634
2022_MSt_SW_MSt19,2022,MSt,-37.129005,146.499058,1725,1260,SW,MSt19,Melicytus.angustifolius.subsp..divaricatus,5,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,467706.5634
2022_LSK_SW_LSK9,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK9,Melicytus.angustifolius.subsp..divaricatus,1,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,459126.283
2022_LSK_SW_LSK10,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK10,Melicytus.angustifolius.subsp..divaricatus,1,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,459126.283
2022_LSK_SE_LSK13,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK13,Melicytus.angustifolius.subsp..divaricatus,1,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,452934.7812
2022_MF_NW_MF1,2022,MF,-36.82947,147.3193,1811,5000,NW,MF1,Melicytus.angustifolius.subsp..divaricatus,0.5,Endemic,Shrub,1,0,0,12.14912281,296.1038961,12.452,2,Evergreen,1,0,470905.2002
2022_LSK_SW_LSK9,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK9,Orites.lancifolius,20,Endemic,Shrub,1,0,0,4.179176211,485.042735,6.882714286,2,Evergreen,1,0,459126.283
2022_LSK_SW_LSK10,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK10,Orites.lancifolius,10,Endemic,Shrub,1,0,0,4.179176211,485.042735,6.882714286,2,Evergreen,1,0,459126.283
2022_LSK_SE_LSK12,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK12,Orites.lancifolius,50,Endemic,Shrub,1,0,0,4.179176211,485.042735,6.882714286,2,Evergreen,1,0,452934.7812
2022_LSK_SE_LSK13,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK13,Orites.lancifolius,65,Endemic,Shrub,1,0,0,4.179176211,485.042735,6.882714286,2,Evergreen,1,0,452934.7812
2022_MM_NW_MM6,2022,MM,-37.18933803,146.620695,1728.878052,1710,NW,MM6,Rytidosperma.pallidum,5,Native,Graminoid,0,0,1,5.353820599,425.4795868,1.397033333,1.8,Evergreen,1,0,485290.3774
2022_MM_NW_MM8,2022,MM,-37.18933803,146.620695,1728.878052,1710,NW,MM8,Rytidosperma.pallidum,20,Native,Graminoid,0,0,1,5.353820599,425.4795868,1.397033333,1.8,Evergreen,1,0,485290.3774
2022_MM_NE_MM11,2022,MM,-37.18933803,146.620695,1728.878052,1710,NE,MM11,Rytidosperma.pallidum,30,Native,Graminoid,0,0,1,5.353820599,425.4795868,1.397033333,1.8,Evergreen,1,0,474591.8001
2022_MSp_NW_MSp12,2022,MSp,-37.125625,146.642424,1641,1197,NW,MSp12,Rytidosperma.pallidum,15,Native,Graminoid,0,0,1,5.353820599,425.4795868,1.397033333,1.8,Evergreen,1,0,484928.63
2022_MSp_NW_MSp15,2022,MSp,-37.125625,146.642424,1641,1197,NW,MSp15,Rytidosperma.pallidum,5,Native,Graminoid,0,0,1,5.353820599,425.4795868,1.397033333,1.8,Evergreen,1,0,484928.63
2022_MHW_NW_MHW5,2022,MHW,-37.17599,146.6418,1689,954,NW,MHW5,Rytidosperma.pallidum,1,Native,Graminoid,0,0,1,5.353820599,425.4795868,1.397033333,1.8,Evergreen,1,0,484706.1286
2022_MSt_NW_MSt7,2022,MSt,-37.129005,146.499058,1725,1260,NW,MSt7,Leionema.phylicifolium,35,Endemic,Shrub,1,0,0,6.72,416.5413534,2.4004,1.6,Evergreen,1,0,486082.4755
